commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.35733278401460356,0.3600152163764106,0.37236365496010115,0.38592185724417544,0.4004982216566645,0.41541056804578586,0.42691465361294895,0.4254143791433639,0.43005487994421726,0.4460456378850881,0.4576505271783614,0.47214963483050637,0.4783545208181468,0.4798497269353528,0.4219983044746948
Bauxite,0.07612866190093913,0.07029508144399059,0.06476514515622969,0.059534876835067946,0.054599896600959784,0.049955322635956805,0.045595692252797984,0.041514892477869186,0.03770611437157153,0.03416182073530503,0.05590568105365514,0.12362179938130934,0.1774794418861865,0.21543169832856307,0.07904972321860013
Compressor,0.15499166143608084,0.16282051497120897,0.1668904005346772,0.1650585958458352,0.17572895193381352,0.18306304430059814,0.19976174311786293,0.1675308318542596,0.1615174330140844,0.17022414881164197,0.1612557350690487,0.1553432181953312,0.1744305172018123,0.18880163082791984,0.17052988765101249
Copper,0.001854526271802553,0.0017576294748023545,0.0016609309606874084,0.0015647905424598261,0.0014695854372757096,0.0013663423000710197,0.0012285076355516172,0.001103161356385249,0.0009892441100427442,0.000885802713417128,0.0007919738313077768,0.0007069705671589434,0.0006405444185843948,0.0005943494344812024,0.0011867399324305662
Copper_ore,0.0007614637320948452,0.0007064255917971772,0.0006562290948596999,0.0006124637448554864,0.0005666066614248568,0.0005228932952367914,0.0005047045652729483,0.0005156656998181837,0.0005176504099300728,0.000523882594544586,0.0005368712785245471,0.0005532986683157694,0.0005579312668884281,0.0005618620681808314,0.0005784249051245875
HEX,1.699776070999834,1.5302826759160613,1.4727063053698017,1.4053985629819579,1.3406990736693625,1.2515131029073763,1.1856694016695577,1.0214737566954486,0.8446362722593781,0.8147668543162068,0.7697505870947522,0.7475266594234231,0.7364368982841558,0.7405792823047757,1.1115153931351494
HP,0.20899531825899886,0.20039139615142035,0.21218784291236203,0.24374272859085142,0.22454318869944628,0.2448097960174862,0.27826155909431527,0.29474099792170916,0.2791834489801023,0.29752481495810756,0.3303972015059761,0.36620885972500133,0.39573932036923565,0.43328178286006275,0.2864291611460768
Iron,0.40118313913922565,0.3853607457588655,0.3699711292285876,0.35474836569415685,0.3364895187851526,0.3165155538573297,0.2922423539176225,0.27522590386754714,0.2575976084520111,0.24262805076731941,0.22831518890956803,0.220704512850296,0.20515753852888038,0.19853869505414853,0.2917627360579079
Nickel,0.0002904987134518117,0.00025800513038050626,0.0002540317732854969,0.00024965409515746614,0.00024356689044475205,0.00024352758970308552,0.0002466362783442599,0.00029709340303954234,0.000328111912536703,0.000320511961419298,0.0003184616144564975,0.00030665087794547495,0.0003003799511158784,0.0003032241965422707,0.00028288245627307453
Steel,0.020591790358818203,0.019006668254910323,0.017535317661926144,0.01612061038988191,0.014781505391391054,0.013532932609737078,0.012394076333682046,0.01129189434550005,0.010253314240951023,0.00928415959544775,0.008396019026809368,0.0075654398656232425,0.006906817125050207,0.006442793186876097,0.012435952741900323
